2026-05-20 14:23:05 | INFO     | pytest | Starting browser: chrome
2026-05-20 14:23:07 | INFO     | e2e | Opening home page for end-to-end flow: https://www.99acres.com/
2026-05-20 14:23:16 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_01_home_page_opened_20260520_142315.png
2026-05-20 14:23:16 | INFO     | e2e | Opening login popup from home page.
2026-05-20 14:23:18 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_02_login_popup_opened_20260520_142317.png
2026-05-20 14:23:18 | INFO     | e2e | Entering mobile number and pausing for manual OTP entry.
2026-05-20 14:24:49 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_03_after_manual_otp_pause_20260520_142448.png
2026-05-20 14:24:49 | INFO     | e2e | Searching properties for location: Mumbai
2026-05-20 14:25:02 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_04_mumbai_results_loaded_20260520_142501.png
2026-05-20 14:25:50 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_05_filters_applied_20260520_142549.png
2026-05-20 14:25:51 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_06_e2e_flow_completed_20260520_142550.png
2026-05-20 14:25:52 | INFO     | pytest | Closing browser after test execution
