2026-05-18 22:24:19 | INFO     | pytest | Starting browser: edge
2026-05-18 22:24:22 | INFO     | e2e | Opening home page for end-to-end flow: https://www.99acres.com/
2026-05-18 22:24:29 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_01_home_page_opened_20260518_222428.png
2026-05-18 22:24:29 | INFO     | e2e | Opening login popup from home page.
2026-05-18 22:24:31 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_02_login_popup_opened_20260518_222431.png
2026-05-18 22:24:31 | INFO     | e2e | Entering mobile number and pausing for manual OTP entry.
2026-05-18 22:25:42 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_03_after_manual_otp_pause_20260518_222542.png
2026-05-18 22:25:42 | INFO     | e2e | Searching properties for location: Mumbai
2026-05-18 22:25:50 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_04_mumbai_results_loaded_20260518_222549.png
2026-05-18 22:27:26 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_05_filters_applied_20260518_222725.png
2026-05-18 22:27:26 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_06_e2e_flow_completed_20260518_222726.png
2026-05-18 22:27:27 | INFO     | pytest | Closing browser after complete test session
