2026-05-18 15:59:21 | INFO     | pytest | Starting browser: edge
2026-05-18 15:59:23 | INFO     | e2e | Opening home page for end-to-end flow: https://www.99acres.com/
2026-05-18 15:59:30 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_01_home_page_opened_20260518_155929.png
2026-05-18 15:59:30 | INFO     | e2e | Opening login popup from home page.
2026-05-18 15:59:31 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_02_login_popup_opened_20260518_155930.png
2026-05-18 15:59:31 | INFO     | e2e | Entering mobile number and pausing for manual OTP entry.
2026-05-18 16:00:42 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_03_after_manual_otp_pause_20260518_160041.png
2026-05-18 16:00:42 | INFO     | e2e | Searching properties for location: Mumbai
2026-05-18 16:00:46 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_04_mumbai_results_loaded_20260518_160043.png
2026-05-18 16:02:23 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_05_filters_applied_20260518_160222.png
2026-05-18 16:02:23 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_06_e2e_flow_completed_20260518_160223.png
2026-05-18 16:02:23 | INFO     | pytest | Closing browser after complete test session
