2026-05-18 12:26:10 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-18 12:26:21 | INFO     | HomePage | Cookie confirmation was not shown.
2026-05-18 12:26:21 | INFO     | HomePage | Clicking element: ('xpath', '/html/body/div[1]/div/div[1]/div[2]/div[2]/div[6]/div[1]/i')
2026-05-18 12:26:22 | INFO     | HomePage | Clicking element: ('xpath', '/html/body/div[1]/div/div[2]/div[2]/div[2]/div[6]/div[2]/div[1]/div[1]')
2026-05-18 12:26:26 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-18 12:26:38 | INFO     | HomePage | Cookie confirmation was not shown.
2026-05-18 12:26:38 | INFO     | HomePage | Clicking element: ('xpath', '/html/body/div[1]/div/div[1]/div[2]/div[2]/div[6]/div[1]/i')
2026-05-18 12:26:39 | INFO     | HomePage | Clicking element: ('xpath', '/html/body/div[1]/div/div[2]/div[2]/div[2]/div[6]/div[2]/div[1]/div[1]')
2026-05-18 12:27:09 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-18 12:27:20 | INFO     | HomePage | Cookie confirmation was not shown.
2026-05-18 12:27:24 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-18 12:27:37 | INFO     | HomePage | Clicked available locator: ('xpath', "//button[normalize-space()='Okay' or normalize-space()='OK']")
2026-05-18 12:27:39 | INFO     | HomePage | Clicked available locator: ('id', 'searchform_search_btn')
2026-05-18 12:27:43 | INFO     | HomePage | Opening URL: https://www.99acres.com/
2026-05-18 12:27:55 | INFO     | HomePage | Cookie confirmation was not shown.
2026-05-18 12:27:57 | INFO     | HomePage | Clicked available locator: ('xpath', "//*[@id='suggestions_custom']/li[@title='Mumbai']")
2026-05-18 12:28:01 | INFO     | HomePage | Clicked available locator: ('xpath', '//*[@id="searchform_search_btn"]')
