2026-05-18 11:14:38 | INFO     | pytest | Starting browser: chrome
2026-05-18 11:14:46 | INFO     | pytest | Closing browser
2026-05-18 11:14:49 | INFO     | pytest | Starting browser: chrome
2026-05-18 11:14:50 | INFO     | pytest | Closing browser
2026-05-18 11:14:53 | INFO     | pytest | Starting browser: chrome
2026-05-18 11:15:00 | INFO     | pytest | Closing browser
2026-05-18 11:15:03 | INFO     | pytest | Starting browser: chrome
2026-05-18 11:15:12 | INFO     | pytest | Closing browser
2026-05-18 11:15:15 | INFO     | pytest | Starting browser: chrome
2026-05-18 11:16:37 | INFO     | pytest | Closing browser
