2026-05-18 12:06:17 | INFO     | pytest | Starting browser: chrome
2026-05-18 12:06:47 | INFO     | pytest | Closing browser
2026-05-18 12:06:50 | INFO     | pytest | Starting browser: chrome
2026-05-18 12:07:29 | ERROR    | pytest | Test failed. Screenshot saved: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\tests_test_login.py_TestLogin_test_user_can_start_login_flow_20260518_120729.png
2026-05-18 12:07:29 | INFO     | pytest | Closing browser
2026-05-18 12:07:32 | INFO     | pytest | Starting browser: chrome
2026-05-18 12:07:46 | INFO     | pytest | Closing browser
2026-05-18 12:07:49 | INFO     | pytest | Starting browser: chrome
2026-05-18 12:08:04 | INFO     | pytest | Closing browser
2026-05-18 12:08:06 | INFO     | pytest | Starting browser: chrome
2026-05-18 12:10:04 | INFO     | pytest | Closing browser
