2026-05-19 12:08:50 | INFO     | pytest | Starting browser: edge
2026-05-19 12:08:51 | INFO     | e2e | Opening home page for end-to-end flow: https://www.99acres.com/
2026-05-19 12:08:57 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_01_home_page_opened_20260519_120856.png
2026-05-19 12:08:57 | INFO     | e2e | Opening login popup from home page.
2026-05-19 12:08:58 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_02_login_popup_opened_20260519_120857.png
2026-05-19 12:08:58 | INFO     | e2e | Entering mobile number and pausing for manual OTP entry.
2026-05-19 12:10:08 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_03_after_manual_otp_pause_20260519_121007.png
2026-05-19 12:10:08 | INFO     | e2e | Searching properties for location: Mumbai
2026-05-19 12:10:11 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_04_mumbai_results_loaded_20260519_121011.png
2026-05-19 12:12:03 | ERROR    | pytest | Test failed. Screenshot saved: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\tests_test_e2e_99acres.py_Test99AcresEndToEnd_test_login_search_and_filter_mumbai_properties_20260519_121203.png
2026-05-19 12:12:03 | INFO     | pytest | Closing browser after complete test session
