2026-05-20 13:05:25 | INFO     | pytest | Starting browser: edge
2026-05-20 13:05:27 | INFO     | e2e | Opening home page for end-to-end flow: https://www.99acres.com/
2026-05-20 13:05:40 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_01_home_page_opened_20260520_130538.png
2026-05-20 13:05:40 | INFO     | e2e | Opening login popup from home page.
2026-05-20 13:05:41 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_02_login_popup_opened_20260520_130540.png
2026-05-20 13:05:41 | INFO     | e2e | Entering mobile number and pausing for manual OTP entry.
2026-05-20 13:07:32 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_03_after_manual_otp_pause_20260520_130731.png
2026-05-20 13:07:32 | INFO     | e2e | Searching properties for location: Mumbai
2026-05-20 13:07:38 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_04_mumbai_results_loaded_20260520_130734.png
2026-05-20 13:09:31 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_05_filters_applied_20260520_130930.png
2026-05-20 13:09:34 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_06_e2e_flow_completed_20260520_130933.png
2026-05-20 13:09:34 | INFO     | pytest | Closing browser after test execution
